Year,quarter,Geography,Enrollment Description,Race,Sex,Entitlement Status,Age,Rural/Urban Status,Total Telehealth Eligible Users,Total Medicare Part B Enrollment,Total Telehealth Users,Pct_Telehealth
2023,3,Florida,All,All,All,All,All,All,1591009.0,1960183.6667,190471.0,0.1197
2023,3,Georgia,All,All,All,All,All,All,594057.0,752957.33333,54803.0,0.0923
2023,3,Hawaii,All,All,All,All,All,All,75006.0,102566.0,14813.0,0.1975
2023,3,Idaho,All,All,All,All,All,All,127111.0,178492.0,7378.0,0.058
2023,3,Illinois,All,All,All,All,All,All,921716.0,1195685.0,94199.0,0.1022
2023,3,Indiana,All,All,All,All,All,All,485275.0,621866.66667,33276.0,0.0686
2023,3,Iowa,All,All,All,All,All,All,300008.0,391906.0,15084.0,0.0503
2023,3,Kansas,All,All,All,All,All,All,271866.0,350656.66667,17303.0,0.0636
2023,3,Kentucky,All,All,All,All,All,All,321613.0,407244.66667,21144.0,0.0657
2023,3,Louisiana,All,All,All,All,All,All,289429.0,361998.0,17193.0,0.0594
2023,3,Maine,All,All,All,All,All,All,99489.0,139928.66667,10135.0,0.1019
2023,3,Maryland,All,All,All,All,All,All,569939.0,724500.33333,89880.0,0.1577
2023,3,Massachusetts,All,All,All,All,All,All,637894.0,803405.66667,123232.0,0.1932
2023,3,Michigan,All,All,All,All,All,All,585207.0,769544.0,78596.0,0.1343
2023,3,Minnesota,All,All,All,All,All,All,283586.0,392810.0,40915.0,0.1443
2023,3,Mississippi,All,All,All,All,All,All,276187.0,340234.0,13798.0,0.05
2023,3,Missouri,All,All,All,All,All,All,417321.0,544509.0,26824.0,0.0643
2023,3,Montana,All,All,All,All,All,All,116995.0,167098.66667,7511.0,0.0642
2023,3,Nebraska,All,All,All,All,All,All,168628.0,225407.33333,10274.0,0.0609
2023,3,Nevada,All,All,All,All,All,All,176401.0,243340.33333,21713.0,0.1231
2023,3,New Hampshire,All,All,All,All,All,All,141071.0,189878.0,17833.0,0.1264
2023,3,New Jersey,All,All,All,All,All,All,707172.0,873631.0,102468.0,0.1449
2023,3,New Mexico,All,All,All,All,All,All,141439.0,198720.33333,17439.0,0.1233
2023,3,New York,All,All,All,All,All,All,1251321.0,1569871.3333,221353.0,0.1769
2023,3,North Carolina,All,All,All,All,All,All,707033.0,895052.0,63894.0,0.0904
2023,3,North Dakota,All,All,All,All,All,All,64081.0,87683.333333,3392.0,0.0529
2023,3,Ohio,All,All,All,All,All,All,750105.0,967696.0,64024.0,0.0854
2023,3,Oklahoma,All,All,All,All,All,All,328399.0,419531.33333,25327.0,0.0771
2023,3,Oregon,All,All,All,All,All,All,253686.0,364309.33333,33496.0,0.132
2023,3,Pennsylvania,All,All,All,All,All,All,930846.0,1183617.6667,96426.0,0.1036
2023,3,Rhode Island,All,All,All,All,All,All,60926.0,77278.0,9039.0,0.1484
2023,3,South Carolina,All,All,All,All,All,All,492591.0,605898.66667,37334.0,0.0758
2023,3,South Dakota,All,All,All,All,All,All,81591.0,113613.33333,4428.0,0.0543
2023,3,Tennessee,All,All,All,All,All,All,486021.0,613212.33333,31100.0,0.064
2023,3,Texas,All,All,All,All,All,All,1390206.0,1824565.6667,171981.0,0.1237
2023,3,Utah,All,All,All,All,All,All,140792.0,188772.66667,11873.0,0.0843
2023,3,Vermont,All,All,All,All,All,All,73097.0,99580.0,8960.0,0.1226
2023,3,Virginia,All,All,All,All,All,All,701890.0,891228.66667,68265.0,0.0973
2023,3,Washington,All,All,All,All,All,All,480313.0,682389.66667,61464.0,0.128
2023,3,West Virginia,All,All,All,All,All,All,144770.0,189875.66667,12378.0,0.0855
