Year,Quarter,Geography,Total Telehealth Eligible Users,Total Medicare Part B Enrollment,Total Telehealth Users,Pct_Telehealth,Real_GDP,Total_Population,Total_Male_Population%,Total_Female_Population%,Population_Under5%,Population5_17%,Population18_24%,Population25_34%,Population35_44%,Population45_54%,Population55_64%,Population65_74%,Population_Over75%,Less_Than_High_School_Diploma%,High_School_Graduate%,Some_College_or_Associate Degree%,Bachelor_Degree%,Graduate_Or_Professional_Degree%,UnemploymentRate%,Private_Health_Insurance%,Public_Health_Insurance_Coverage%,No_Health_Insurance_Coverage%,Povery_Rate%,White,Black,Hispanic,Asian,American Indian or Alaska Native,Multiple Races
2023,2,Kansas,272702.0,350113.0,17733.0,0.065,183795.6,2940547,50.2,49.8,5.8,17.6,10.1,12.8,13.2,11.1,11.8,10.4,7.2,8.3,25.1,30.8,22.4,13.4,3.3,73.2,31.7,8.4,11.2,0.73,0.048,0.137,0.026,0.004,0.053
2023,2,Kentucky,322316.0,409811.33333,22736.0,0.0705,224418.0,4526154,49.6,50.4,5.8,16.5,9.0,13.2,12.6,12.3,12.8,10.7,7.1,10.5,33.0,28.7,16.3,11.5,4.1,62.8,45.2,5.4,16.4,0.819,0.071,0.048,0.014,0.001,0.046
2023,2,Louisiana,290617.0,365306.66667,18032.0,0.062,248615.5,4573749,48.9,51.1,6.0,17.2,8.9,12.9,13.6,11.6,12.4,10.6,6.8,12.2,33.1,27.7,16.9,10.1,4.9,57.7,47.9,6.9,18.9,0.56,0.298,0.071,0.017,0.005,0.049
2023,2,Maine,102011.0,140971.33333,11115.0,0.109,75195.4,1395722,49.1,50.9,4.3,13.3,7.9,12.1,12.6,12.0,14.8,13.6,9.3,5.1,29.4,28.6,23.2,13.7,3.2,67.5,41.9,5.9,10.4,0.9,0.018,0.021,0.009,0.004,0.047
2023,2,Maryland,572346.0,723189.0,89552.0,0.1565,422866.3,6180253,48.5,51.5,5.6,16.4,8.5,12.8,13.8,12.4,13.3,10.1,7.1,8.8,23.9,23.6,22.4,21.3,4.0,73.1,34.6,6.3,9.5,0.464,0.288,0.127,0.066,0.001,0.054
2023,2,Massachusetts,652099.0,805429.33333,129986.0,0.1993,615504.5,7001399,48.9,51.1,4.9,14.3,9.8,13.8,13.2,12.1,13.5,10.8,7.7,8.6,22.8,20.8,25.4,22.4,3.9,73.1,38.0,2.6,10.4,0.662,0.065,0.135,0.072,0.001,0.065
2023,2,Michigan,596039.0,771575.0,83307.0,0.1398,554256.2,10037261,49.5,50.5,5.3,15.8,9.2,13.1,12.2,11.9,13.3,11.6,7.7,8.0,27.7,31.6,19.9,12.8,4.5,69.9,41.3,4.5,13.5,0.726,0.13,0.059,0.033,0.003,0.048
2023,2,Minnesota,288894.0,393227.0,43448.0,0.1504,390907.9,5737915,50.0,50.0,5.7,16.9,8.7,12.9,13.7,11.6,12.6,10.6,7.3,5.7,23.3,31.0,25.9,14.0,3.0,75.0,35.1,4.2,9.3,0.757,0.068,0.064,0.052,0.006,0.052
2023,2,Mississippi,276503.0,343093.33333,15321.0,0.0554,119548.4,2939690,48.5,51.5,5.7,17.3,9.7,11.9,13.2,12.2,12.5,10.6,7.0,12.2,29.4,32.8,15.5,10.0,4.8,62.1,40.1,10.3,18.0,0.552,0.355,0.036,0.009,0.004,0.044
2023,2,Missouri,419611.0,545681.33333,27817.0,0.0663,348487.4,6196156,49.3,50.7,5.6,16.5,9.2,13.0,12.9,11.6,12.8,10.8,7.5,8.0,29.4,29.4,20.2,13.0,3.4,68.4,36.0,7.5,12.0,0.768,0.105,0.052,0.02,0.002,0.051
2023,2,Montana,118234.0,166312.0,7709.0,0.0652,57373.3,1132812,50.5,49.5,4.9,15.9,9.0,12.8,13.3,11.1,12.6,12.5,8.0,5.6,28.0,31.8,22.7,12.0,2.7,65.4,41.1,8.4,11.7,0.839,0.005,0.046,0.008,0.051,0.051
2023,2,Nebraska,169762.0,225199.66667,10709.0,0.0631,145019.6,1978379,50.2,49.8,6.1,18.1,9.7,12.8,13.2,11.1,11.6,10.2,7.0,7.3,24.8,32.6,22.9,12.4,2.7,74.1,32.7,6.1,10.5,0.752,0.042,0.13,0.026,0.005,0.045
2023,2,Nevada,178082.0,243412.66667,23108.0,0.1298,195405.6,3194176,50.3,49.7,5.4,16.1,8.0,14.3,14.0,12.6,12.4,10.4,7.0,12.3,26.8,32.2,18.7,10.0,4.6,64.1,37.4,10.8,12.0,0.444,0.087,0.3,0.091,0.006,0.066
2023,2,New Hampshire,144196.0,189570.33333,19194.0,0.1331,93466.7,1402054,49.9,50.1,4.5,13.4,8.6,12.6,12.8,12.0,15.4,12.5,8.2,5.6,27.0,26.6,24.6,16.2,2.6,75.9,33.3,4.7,7.2,0.865,0.012,0.045,0.026,0.004,0.049
2023,2,New Jersey,713230.0,872204.33333,105273.0,0.1476,663888.5,9290841,49.2,50.8,5.6,16.0,8.3,12.7,13.3,12.8,13.4,10.3,7.5,9.3,25.2,21.7,26.3,17.5,4.7,70.1,34.1,7.2,9.7,0.506,0.119,0.227,0.102,0.001,0.045
2023,2,New Mexico,142648.0,199060.66667,18547.0,0.13,110323.7,2114371,49.6,50.4,4.9,16.3,9.2,13.1,13.1,11.3,12.1,11.8,8.2,12.5,25.1,30.7,17.5,14.1,4.8,54.1,52.2,9.1,17.8,0.361,0.016,0.487,0.017,0.083,0.036
2023,2,New York,1271637.0,1572207.6667,226130.0,0.1778,1791210.7,19571216,48.8,51.2,5.3,14.9,8.9,14.0,13.0,12.1,13.3,10.6,7.9,11.7,24.2,23.4,22.6,18.1,5.0,65.1,43.3,4.8,14.2,0.528,0.132,0.199,0.09,0.002,0.049
2023,2,North Carolina,710570.0,898316.33333,64257.0,0.0904,638067.3,10835491,49.0,51.0,5.5,15.9,9.5,13.3,13.0,12.5,12.6,10.5,7.1,9.4,24.5,29.3,23.0,13.8,4.0,67.3,36.4,9.2,12.8,0.599,0.198,0.114,0.033,0.008,0.048
2023,2,North Dakota,65036.0,87931.333333,3789.0,0.0583,60348.6,783926,51.1,48.9,5.9,17.0,10.8,14.6,13.6,9.8,11.2,9.9,7.2,5.5,24.3,36.6,23.3,10.2,2.9,80.8,29.3,4.5,9.8,0.816,0.026,0.044,0.014,0.045,0.054
2023,2,Ohio,755961.0,967046.33333,67139.0,0.0888,709816.6,11785935,49.3,50.7,5.6,16.3,8.8,13.2,12.6,11.9,12.9,11.2,7.6,8.1,31.8,28.1,19.3,12.7,4.0,67.3,39.2,6.1,13.3,0.758,0.117,0.048,0.025,0.001,0.05
2023,2,Oklahoma,330182.0,421123.0,26551.0,0.0804,207923.3,4053824,49.7,50.3,5.9,17.9,10.0,13.3,13.3,11.4,11.5,9.9,6.8,10.3,30.6,30.4,18.6,10.1,4.6,61.5,40.3,11.4,15.9,0.619,0.064,0.129,0.023,0.067,0.098
2023,2,Oregon,257162.0,364202.66667,35212.0,0.1369,261951.5,4233358,49.7,50.3,4.7,14.9,8.3,14.0,14.2,12.4,12.0,11.6,7.9,8.0,22.1,32.3,23.5,14.2,4.1,66.9,41.4,5.5,12.2,0.71,0.019,0.149,0.045,0.006,0.068
2023,2,Pennsylvania,941920.0,1185576.3333,101226.0,0.1075,799228.8,12961683,49.3,50.7,5.1,15.1,9.0,12.7,12.8,11.8,13.4,11.7,8.4,7.8,33.1,23.8,21.0,14.4,4.2,70.1,39.5,5.4,12.0,0.73,0.099,0.089,0.039,0.001,0.043
2023,2,Rhode Island,62578.0,77923.666667,9454.0,0.1511,63277.0,1095962,48.9,51.1,4.8,13.7,9.7,14.0,13.0,11.5,13.8,11.3,8.1,10.4,26.4,24.1,23.1,15.9,4.8,70.5,38.8,4.5,10.8,0.676,0.046,0.182,0.032,0.004,0.062
2023,2,South Carolina,492413.0,605554.33333,36509.0,0.0741,262298.5,5373555,48.5,51.5,5.3,15.9,9.0,12.6,12.8,11.9,13.1,11.6,7.8,9.8,28.2,29.1,20.4,12.5,4.3,66.8,39.1,9.1,13.9,0.62,0.24,0.074,0.017,0.002,0.046
